    5.0000    0.0057
    7.0000    0.0098
    9.0000    0.0140
   11.0000    0.0149
   12.0000    0.0181
   14.0000    0.0257
   16.0000    0.0226
   18.0000    0.0290
   20.0000    0.0456
   22.0000    0.0499
   24.0000    0.0624
   26.0000    0.0683
   28.0000    0.0914
   30.0000    0.0985
   32.0000    0.1098
   34.0000    0.1130
   36.0000    0.1249
   38.0000    0.1542
   40.0000    0.1791
   42.0000    0.2074
   44.0000    0.2093
   47.0000    0.2627
   50.0000    0.2676
   53.0000    0.3303
   56.0000    0.3351
   59.0000    0.3177
   61.0000    0.3370
   64.0000    0.3599
   66.0000    0.3599
   70.0000    0.5048
   80.0000    0.6873
   82.0000    0.7176
   84.0000    0.7292
